==== Broken events ====
Total broken events: 78
{'episode': 82, 'step': 16, 'customer_index': 7, 'customer_instance_id': 'dyn-54', 'x': 1.62, 'y': -6.08, 'demand': 42.68}
{'episode': 82, 'step': 18, 'customer_index': 1, 'customer_instance_id': 'dyn-55', 'x': -6.7, 'y': -2.31, 'demand': 21.56}
{'episode': 82, 'step': 20, 'customer_index': 4, 'customer_instance_id': 'dyn-56', 'x': 1.52, 'y': 4.82, 'demand': 15.18}
{'episode': 85, 'step': 24, 'customer_index': 8, 'customer_instance_id': 'dyn-57', 'x': 1.74, 'y': -0.68, 'demand': 22.38}
{'episode': 92, 'step': 26, 'customer_index': 1, 'customer_instance_id': 'dyn-58', 'x': -6.61, 'y': 2.9, 'demand': 44.97}
{'episode': 92, 'step': 31, 'customer_index': 0, 'customer_instance_id': 'dyn-59', 'x': 4.04, 'y': 2.14, 'demand': 5.38}
{'episode': 93, 'step': 20, 'customer_index': 4, 'customer_instance_id': 'dyn-60', 'x': 5.41, 'y': 0.81, 'demand': 38.25}
{'episode': 93, 'step': 29, 'customer_index': 3, 'customer_instance_id': 'dyn-61', 'x': -5.62, 'y': -6.06, 'demand': 23.72}
{'episode': 93, 'step': 31, 'customer_index': 7, 'customer_instance_id': 'dyn-62', 'x': 3.2, 'y': 8.06, 'demand': 19.48}
{'episode': 97, 'step': 16, 'customer_index': 9, 'customer_instance_id': 'dyn-63', 'x': -1.61, 'y': -0.63, 'demand': 13.05}
{'episode': 97, 'step': 21, 'customer_index': 8, 'customer_instance_id': 'dyn-64', 'x': -1.9, 'y': -2.51, 'demand': 41.22}
{'episode': 97, 'step': 34, 'customer_index': 2, 'customer_instance_id': 'dyn-65', 'x': 4.35, 'y': 2.05, 'demand': 30.52}
{'episode': 99, 'step': 23, 'customer_index': 3, 'customer_instance_id': 'dyn-66', 'x': 2.82, 'y': 2.9, 'demand': 30.22}
{'episode': 102, 'step': 28, 'customer_index': 7, 'customer_instance_id': 'dyn-67', 'x': -1.7, 'y': 9.29, 'demand': 41.92}
{'episode': 102, 'step': 31, 'customer_index': 0, 'customer_instance_id': 'dyn-68', 'x': 1.66, 'y': -6.18, 'demand': 17.87}
{'episode': 102, 'step': 33, 'customer_index': 1, 'customer_instance_id': 'dyn-69', 'x': -4.19, 'y': -7.38, 'demand': 30.31}
{'episode': 103, 'step': 21, 'customer_index': 2, 'customer_instance_id': 'dyn-70', 'x': -8.72, 'y': -1.39, 'demand': 31.96}
{'episode': 103, 'step': 23, 'customer_index': 0, 'customer_instance_id': 'dyn-71', 'x': -5.51, 'y': -7.31, 'demand': 13.05}
{'episode': 103, 'step': 32, 'customer_index': 4, 'customer_instance_id': 'dyn-72', 'x': -6.27, 'y': -3.23, 'demand': 2.63}
{'episode': 105, 'step': 17, 'customer_index': 3, 'customer_instance_id': 'dyn-73', 'x': -1.22, 'y': 4.75, 'demand': 36.91}
{'episode': 105, 'step': 30, 'customer_index': 9, 'customer_instance_id': 'dyn-74', 'x': -3.83, 'y': -3.61, 'demand': 1.95}
{'episode': 105, 'step': 34, 'customer_index': 4, 'customer_instance_id': 'dyn-75', 'x': -7.92, 'y': -2.97, 'demand': 10.33}
{'episode': 110, 'step': 29, 'customer_index': 4, 'customer_instance_id': 'dyn-76', 'x': -6.21, 'y': 0.98, 'demand': 21.65}
{'episode': 119, 'step': 16, 'customer_index': 4, 'customer_instance_id': 'dyn-77', 'x': 5.59, 'y': -1.68, 'demand': 30.15}
{'episode': 119, 'step': 19, 'customer_index': 8, 'customer_instance_id': 'dyn-78', 'x': 8.23, 'y': 2.93, 'demand': 9.64}
{'episode': 119, 'step': 23, 'customer_index': 0, 'customer_instance_id': 'dyn-79', 'x': -2.35, 'y': -4.07, 'demand': 20.16}
{'episode': 120, 'step': 11, 'customer_index': 0, 'customer_instance_id': 'dyn-80', 'x': -3.58, 'y': 2.91, 'demand': 12.85}
{'episode': 120, 'step': 19, 'customer_index': 2, 'customer_instance_id': 'dyn-81', 'x': -6.69, 'y': 3.91, 'demand': 33.43}
{'episode': 120, 'step': 24, 'customer_index': 2, 'customer_instance_id': 'dyn-82', 'x': -3.76, 'y': 5.53, 'demand': 22.41}
{'episode': 122, 'step': 24, 'customer_index': 6, 'customer_instance_id': 'dyn-83', 'x': 7.2, 'y': 3.55, 'demand': 10.98}
{'episode': 122, 'step': 29, 'customer_index': 1, 'customer_instance_id': 'dyn-84', 'x': 6.92, 'y': -1.98, 'demand': 5.88}
{'episode': 122, 'step': 31, 'customer_index': 4, 'customer_instance_id': 'dyn-85', 'x': 9.72, 'y': 1.66, 'demand': 25.62}
{'episode': 132, 'step': 17, 'customer_index': 2, 'customer_instance_id': 'dyn-86', 'x': 0.63, 'y': -2.6, 'demand': 14.13}
{'episode': 132, 'step': 29, 'customer_index': 0, 'customer_instance_id': 'dyn-87', 'x': 6.15, 'y': -4.77, 'demand': 36.15}
{'episode': 132, 'step': 34, 'customer_index': 0, 'customer_instance_id': 'dyn-88', 'x': 5.51, 'y': 3.52, 'demand': 34.08}
{'episode': 139, 'step': 18, 'customer_index': 2, 'customer_instance_id': 'dyn-89', 'x': 6.65, 'y': -1.89, 'demand': 39.32}
{'episode': 139, 'step': 20, 'customer_index': 2, 'customer_instance_id': 'dyn-90', 'x': 6.81, 'y': 0.43, 'demand': 25.32}
{'episode': 139, 'step': 25, 'customer_index': 1, 'customer_instance_id': 'dyn-91', 'x': -0.54, 'y': 3.79, 'demand': 12.89}
{'episode': 141, 'step': 20, 'customer_index': 5, 'customer_instance_id': 'dyn-92', 'x': 7.09, 'y': -1.08, 'demand': 32.0}
{'episode': 143, 'step': 22, 'customer_index': 9, 'customer_instance_id': 'dyn-93', 'x': 5.07, 'y': 2.48, 'demand': 37.56}
{'episode': 150, 'step': 14, 'customer_index': 5, 'customer_instance_id': 'dyn-94', 'x': -3.29, 'y': -3.85, 'demand': 25.51}
{'episode': 151, 'step': 22, 'customer_index': 9, 'customer_instance_id': 'dyn-95', 'x': -0.24, 'y': 4.93, 'demand': 41.61}
{'episode': 151, 'step': 29, 'customer_index': 1, 'customer_instance_id': 'dyn-96', 'x': -3.85, 'y': 5.62, 'demand': 39.27}
{'episode': 151, 'step': 33, 'customer_index': 1, 'customer_instance_id': 'dyn-97', 'x': 1.96, 'y': 4.75, 'demand': 30.81}
